Sample,A Ext 1,A Ext 2,A Ext 3,A Int 1,A Int 2,A Int 3,Blank01,Blank02,Blank03,B Ext 1,B Ext 2,B Ext 3,B Int 1,B Int 2,B Int 3,Control Ext 1,Control Ext 2,Control Ext 3,Control Int 1,Control Int 2,Control Int 3,C Ext 1,C Ext 2,C Ext 3,C Int 1,C Int 2,C Int 3,QC01,QC02,QC03,QC04,QC05,QCdilution 0_0625,QCdilution 0_125,QCdilution 0_25,QCdilution 0_5,QCdilution 1_0
Label,A Ext,A Ext,A Ext,A Int,A Int,A Int,Blank,Blank,Blank,B Ext,B Ext,B Ext,B Int,B Int,B Int,Control Ext,Control Ext,Control Ext,Control In,Control In,Control In,C Ext,C Ext,C Ext,C Int,C Int,C Int,QC,QC,QC,QC,QC,QC,QC,QC,QC,QC
"2,3-Dimethylanthracene",112247.4,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,94189.29,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
"2,6-Diaminopimelate",961952.9,825045.8,950571.4,487077.4,637164.4,690145.8,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,998513.4,1126353,1108818,0.001,766239.6,617017.5,683573.9,721968.1,662736.9,0.001,181569.5,174634.8,713328.4,748242.4,801878.7,763093.5,774821.4,0.001,0.001,386126,658307.1,869296.2
"2,7-Dimethylnaphthalene",56243.55,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
2-Acetami0.001o-2-deoxy-beta-D-glycosylamine,2179693,2003992,2069154,1170803,1451422,1616128,0.001,0.001,0.001,1224535,996779.6,995489.1,192859.9,195920,0.001,1980059,2033536,2011298,303440,755301.6,673992.3,3139208,3323437,2994920,744187.3,1604645,1362028,1536435,1585953,1737817,1748326,1826343,154562,335969.4,668427.5,1158681,1926772
2-Amino-2-methylpropanoate,249425.3,268099,0.001,0.001,0.001,0.001,0.001,0.001,0.001,355547.2,0.001,339127.1,256759.5,279229.9,269231.7,0.001,368039,310585.7,290201.2,346128.4,306892.2,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,241645.5,0.001,326671.3,0.001,0.001,327391.6,0.001
2-Aminophenol,0.001,0.001,336754.5,259145.5,240916,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,345752.3,325365.2,300241,163903.9,0.001,0.001,353560.6,0.001,348647.1,280139.7,0.001,0.001,0.001,306116.8,266397.4,321257.4,0.001,164118,206713.6,260655.2,243356.2,0.001
2-Deoxyadenosine-5-monophosphate,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,7343.93,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
2-Hydroxypyridine,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,95474.14,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
2-Methoxyestrone,320839.6,311026,318061.6,0.001,0.001,0.001,0.001,0.001,0.001,492612.6,387807.7,457037.2,0.001,0.001,0.001,275496,280819.5,273873.4,0.001,0.001,0.001,233200.7,245858.9,233307.5,0.001,0.001,0.001,66665.09,0.001,184559.8,146721.6,170647.4,0.001,0.001,0.001,0.001,220195.7
2-Methylhippuric Acid,475934.8,408207.5,502100.9,260958.3,265411.3,321186.2,0.001,0.001,0.001,384442.3,0.001,633291.1,0.001,180309.2,148746.5,540259.1,621633.9,491179.9,0.001,110402.6,0.001,412154.1,369379.6,440480.7,341834.2,321000.8,236436.3,211327,308715.3,446116.8,394631.2,0.001,0.001,94524.91,144271.7,246698,561221.5
